SURVYEAR	LFSSTAT	PROV	AGE	SEX	EDUC	TENURE	UNION	HRLYEARN	HOURS
1997	Employed,	AL	15-29	Male	HS Dropout	61	No	5.13	9
1997	Unemployed	AL	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Unemployed	AL	15-29	Female	HS Dropout	NA	NA	NA	NA
1997	Employed,	AL	15-29	Male	HS Dropout	1	No	13.5	50
1997	Employed,	AL	15-29	Male	HS Dropout	10	No	5.25	30
1997	Employed,	AL	15-29	Female	HS Dropout	19	NA	NA	4
1997	Employed,	AL	15-29	Male	HS Dropout	2	No	6.5	15
1997	Employed,	AL	15-29	Male	HS Dropout	10	Yes	9	8
1997	Employed,	AL	30-44	Male	HS Dropout	5	No	20	45
1997	Employed,	AL	30-44	Male	HS Dropout	53	No	15.58	60
1997	Employed,	AL	30-44	Female	HS Dropout	12	No	6	29.5
1997	Employed,	AL	30-44	Female	HS Dropout	66	Yes	8	32
1997	Unemployed	AL	30-44	Female	HS Dropout	NA	NA	NA	NA
1997	Employed,	AL	30-44	Male	HS Dropout	71	No	19.23	60
1997	Employed,	AL	30-44	Female	HS Dropout	178	NA	NA	18
1997	Employed,	AL	45-59	Male	HS Dropout	55	No	6.92	53
1997	Employed,	AL	45-59	Female	HS Dropout	240	NA	NA	80
1997	Employed,	AL	45-59	Male	HS Dropout	240	NA	NA	99
1997	Employed,	AL	45-59	Female	HS Dropout	7	No	5.6	17
1997	Employed,	AL	45-59	Female	HS Dropout	8	No	8	43
1997	Employed,	AL	60+	Male	HS Dropout	240	Yes	13.97	37.5
1997	Employed,	AL	60+	Male	HS Dropout	240	NA	NA	40
1997	Employed,	AL	60+	Male	HS Dropout	240	NA	NA	70
1997	Employed,	AL	60+	Female	HS Dropout	12	No	8.65	6
1997	Employed,	AL	15-29	Male	HS Grad	57	No	11.54	40
1997	Employed,	AL	15-29	Female	HS Grad	18	No	6.25	30
1997	Employed,	AL	15-29	Female	HS Grad	6	No	9.44	72
1997	Employed,	AL	15-29	Female	HS Grad	13	No	5	0
1997	Employed,	AL	15-29	Male	HS Grad	3	No	6.92	40
1997	Employed,	AL	15-29	Female	HS Grad	7	No	8	20
1997	Employed,	AL	15-29	Male	HS Grad	67	NA	NA	39
1997	Employed,	AL	15-29	Female	HS Grad	130	Yes	17.3	40
1997	Employed,	AL	15-29	Female	HS Grad	45	No	3.46	40
1997	Employed,	AL	15-29	Male	HS Grad	7	No	15.05	59
1997	Employed,	AL	15-29	Male	HS Grad	46	Yes	14.75	40
1997	Employed,	AL	30-44	Female	HS Grad	32	No	14.55	40
1997	Employed,	AL	30-44	Male	HS Grad	225	Yes	19	40
1997	Employed,	AL	30-44	Female	HS Grad	79	No	17.44	29.5
1997	Employed,	AL	30-44	Female	HS Grad	61	No	13.26	24
1997	Employed,	AL	30-44	Male	HS Grad	21	NA	NA	40
1997	Employed,	AL	30-44	Male	HS Grad	199	Yes	22.5	36
1997	Employed,	AL	30-44	Female	HS Grad	74	No	13.34	30
1997	Employed,	AL	30-44	Male	HS Grad	39	No	10	40
1997	Employed,	AL	30-44	Male	HS Grad	139	No	14.42	55
1997	Employed,	AL	30-44	Female	HS Grad	80	No	16.35	44
1997	Employed,	AL	30-44	Male	HS Grad	210	Yes	23	40
1997	Employed,	AL	30-44	Female	HS Grad	5	NA	NA	65
1997	Employed,	AL	30-44	Male	HS Grad	192	NA	NA	40
1997	Employed,	AL	30-44	Male	HS Grad	115	NA	NA	50
1997	Employed,	AL	45-59	Male	HS Grad	100	Yes	17.31	67
1997	Employed,	AL	45-59	Male	HS Grad	15	NA	NA	37
1997	Employed,	AL	45-59	Female	HS Grad	147	No	16.83	40
1997	Employed,	AL	45-59	Male	HS Grad	123	NA	NA	25
1997	Employed,	AL	45-59	Male	HS Grad	26	No	11.54	45
1997	Employed,	AL	60+	Male	HS Grad	240	NA	NA	0
1997	Employed,	AL	60+	Female	HS Grad	56	No	11.5	8
1997	Employed,	AL	60+	Female	HS Grad	49	No	7.25	10
1997	Employed,	AL	15-29	Female	Some PS	44	No	9	40
1997	Employed,	AL	15-29	Male	Some PS	33	No	12.4	50
1997	Employed,	AL	15-29	Female	Some PS	16	No	6	12
1997	Employed,	AL	15-29	Male	Some PS	54	No	17	72
1997	Employed,	AL	15-29	Female	Some PS	88	Yes	15.1	26
1997	Employed,	AL	15-29	Female	Some PS	9	No	9	42
1997	Employed,	AL	15-29	Male	Some PS	95	No	16.5	30
1997	Employed,	AL	15-29	Male	Some PS	2	No	12.31	30
1997	Employed,	AL	15-29	Male	Some PS	39	No	19.04	57
1997	Employed,	AL	15-29	Female	Some PS	46	No	6	41
1997	Unemployed	AL	15-29	Male	Some PS	NA	NA	NA	NA
1997	Employed,	AL	15-29	Female	Some PS	87	No	9	40
1997	Employed,	AL	15-29	Male	Some PS	84	No	19	60
1997	Employed,	AL	30-44	Male	Some PS	24	NA	NA	45
1997	Employed,	AL	30-44	Male	Some PS	16	NA	NA	84
1997	Employed,	AL	30-44	Female	Some PS	39	No	10.82	40
1997	Employed,	AL	30-44	Male	Some PS	196	Yes	25.96	36.3
1997	Employed,	AL	30-44	Male	Some PS	74	NA	NA	42
1997	Employed,	AL	30-44	Female	Some PS	6	No	8	47.5
1997	Employed,	AL	30-44	Female	Some PS	28	Yes	10.52	47
1997	Unemployed	AL	30-44	Male	Some PS	NA	NA	NA	NA
1997	Employed,	AL	30-44	Male	Some PS	19	No	20	10
1997	Employed,	AL	30-44	Female	Some PS	102	No	10	44
1997	Employed,	AL	30-44	Male	Some PS	1	No	16.35	40
1997	Employed,	AL	30-44	Female	Some PS	79	Yes	11.6	23
1997	Employed,	AL	30-44	Male	Some PS	188	No	21.92	47
1997	Employed,	AL	30-44	Female	Some PS	215	Yes	16.21	0
1997	Employed,	AL	30-44	Male	Some PS	130	NA	NA	30
1997	Employed,	AL	30-44	Male	Some PS	240	NA	NA	84
1997	Employed,	AL	30-44	Male	Some PS	2	Yes	20	40
1997	Employed,	AL	30-44	Male	Some PS	221	No	17	48
1997	Employed,	AL	30-44	Male	Some PS	31	No	17.5	82
1997	Employed,	AL	30-44	Female	Some PS	5	No	5.5	0
1997	Employed,	AL	30-44	Female	Some PS	185	NA	NA	32
1997	Employed,	AL	30-44	Male	Some PS	4	Yes	16.5	25
1997	Employed,	AL	30-44	Female	Some PS	46	No	10	40
1997	Employed,	AL	30-44	Female	Some PS	8	No	15	40
1997	Employed,	AL	30-44	Male	Some PS	204	NA	NA	55
1997	Employed,	AL	30-44	Female	Some PS	3	No	7	13
